0,00000000    0,00000000    
0,03166420    0,03312018    
0,895    0,03957289    0,02710541    
0,85    0,04315869    0,02146944    
0,75    0,04747455    0,02373869    
0,65    0,05078803    0,02547744    
0,75    0,04747455    0,02373869    
0,65    0,05078803    0,02547744    
0,55    0,05317263    0,02696524    
0,45    0,05503520    0,02665127    
0,35    0,05862781    0,02879289    
0,25    0,06057372    0,03000361    
0,15    0,06045174    0,03129299    
0,05    0,06104039    0,03122634    
0,4    0,05679074    0,02881499    
0,3    0,05922345    0,02777906    
0,01    0,06109008    0,03124704    
0    0,06109008    0,03124482    
0,1    0,06077675    0,03114158    
0,12    0,06068392    0,03108729    
0,995    0,03167218    0,03289000    
0,85    0,04315869    0,02157793    
0,998    0,00000000    0,00000000    
0,895    0,03957378    0,02714901    
0,795    0,04479990    0,02280855    
0,695    0,04870575    0,02480070    
0,595    0,05158256    0,02636916    
0,495    0,05492787    0,02760499    
0,395    0,05673689    0,02650607    
0,295    0,05932464    0,02767923    
0,195    0,05998813    0,03042845    
0,095    0,06085478    0,03106094    
0,9    0,03924713    0,02697161    
0,995    0,03150830    0,03291499    
0,85    0,04316363    0,02145112    
0,9    0,03924275    0,02696775    
0,991    0,03276648    0,03360617    
0,891    0,03983363    0,02766961    
0,885    0,04026577    0,02795928    
0,85    0,04308962    -∞    
0,85    0,04315671    -∞    
0,85    0,04289547    0,02156947    
0,995    0,00000000    0,00000000    
0,995    0,03159978    0,02189009    
0,85    0,04280585    0,02156996    
0,9    0,03919292    0,01348106    
0,85    0,04311131    -∞    
0,85    0,04286523    0,02155319    
0,9    0,03931554    0,02025947    
0,995    0,00000000    0,00000000    
0,895    0,03975352    0,02039806    
0,955    0,03596722    0,01849537    
0,955    0,03593431    0,01849582    
0,995    0,00000000    0,00000000    
0,995    0,03175148    0,02177730    
0,995    0,03495027    0,02040705    
0,895    0,03993671    0,02047307    
0,995    0,03168670    0,01637370    
0,995    0,00000000    0,00000000    
0,995    0,03186934    0,03295177    
0,85    0,04299037    0,02161717    
0,9    0,03953465    0,02034356    
0,75    0,04732286    0,02374373    
0,65    0,05060510    0,02548534    
0,55    0,05304323    0,02692794    
0,9    0,03924713    0,02697161    
0,99    0,03303613    0,03380111    
0,991    0,03284392    0,03364686    
0,8999    0,03925151    0,02697547    
0,891    0,03983723    0,02715096    
0,897    0,03947256    0,02707816    
0,898    0,03934984    0,02704384    
0,899    0,03929886    0,02700832    
0,9455    0,03680337    0,03741190    
0,99325    0,03229491    0,03346609    
0,89775    0,03936304    0,02705290    
0,873875    0,04124225    0,02098392    
0,8619375    0,04257478    0,02128502    
0,9096875    0,03984626    0,02991111    
0,92759375    0,03824215    0,03460380    
0,9365469    0,03752879    0,03762300    
0,9475    0,03701602    0,01889680    
0,9475    0,03660135    0,03611690    
0,97125    0,03596475    0,02538962    
0,98308    0,03445752    0,03439645    
0,98904    0,03342352    0,03401219    
0,873875    0,04229235    -∞    
0,873875    0,04229530    -∞    
0,873875    0,04229530    -∞    
0,873875    0,04195638    -∞    
0,873875    0,04121240    0,02097491    
0,995    0,03169324    0,03279869    
0,9455    0,03678100    0,03749003    
0,9365469    0,03796487    0,03679369    
0,995    0,03202958    0,03328802    
0,991    0,03311638    0,03386765    
0,9455    0,03715747    0,03758875    
0,92759375    0,03874612    0,03290879    
0,9096875    0,03875408    0,02674328    
0,873875    0,04206389    0,02103209    
0,85    0,04323590    0,02151460    
0,75    0,04749848    0,02374654    
0,65    0,05072539    0,02545012    
0,55    0,05309047    0,02693847    
0,4    0,05645650    0,02872693    
0,25    0,06019852    0,02987048    
0,12    0,06023341    0,03115188    
0,89178125    0,04006130    0,02781401    
0,88282813    0,04073605    0,02771111    
0,86    0,04275536    0,02135892    
0,8619375    0,04265957    0,02132372    
0,8783641    0,04110548    0,02091756    
0,88059612    0,04091167    0,02085952    
0,88059612    0,04098621    0,02089172    
0,895    0,04148639    0,02512565    
0,88059612    0,04059900    0,02761435    
0,88059612    0,04098621    0,02089172    
0,88059612    0,04098621    0,02089172    
0,88059612    0,04098621    0,02089172    
0,88059612    0,04098621    0,02089172    
0,88059612    0,04059900    0,02761435    
0,995    0,03132125    0,03252239    
0,9455    0,03689481    0,01884532    
0,85    0,04291793    0,02158270    
0,85    0,04291793    0,02158270    
0,88059612    0,04098621    0,02089172    
0,85    0,04337519    0,02168378    
0,85    0,04291793    0,02158270    
0,895    0,04148639    0,02512565    
0,85    0,04291793    0,02158270    
0,995    0,03132125    0,03252239    
0,85    0,04291793    0,02158270    
0,75    0,04729587    0,02373532    
0,35    0,05813956    0,02936823    
0,85    0,04337519    0,02168378    
0,85    0,04313597    0,02181445    
0,85    0,04291793    0,02158270    
0,65    0,05069015    0,02552675    
0,995    0,03078347    0,03059709    
0,85    0,04337519    0,02168378    
0,75    0,04786224    0,02391829    
0,9455    0,03678431    0,03746235    
0,9455    0,03706642    0,01889396    
0,9455    0,03675452    0,03691822    
0,85    0,04314288    0,02168410    
0,995    0,03079058    0,01538563    
0,995    0,03073214    0,03114062    
0,85    0,04313597    0,02181445    
0,995    0,03132125    0,03252239    
0,9455    0,03689481    0,01884532    
0,85    0,04291793    0,02158270    
0,65    0,05069015    0,02552614    
0,15    0,06034912    0,03067462    
0,995    0,03132125    0,03252239    
0,9455    0,03689147    0,02814848    
0,65    0,05069015    0,02552675    
0,9455    0,03689147    0,02814848    
0,9455    0,03700848    0,02492513    
0,15    0,06034912    0,03067462    
0,995    0,03079561    0,03093714    
