0,00    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    1,00000000    0,00000000    1,00000000    0,00000000    0,00000000
20,00    -1,62686096    1,62823491    1,65589663    1,65628703    1,65646997    1,65592001    1,65610197    1,65628810    1,65646997    1,65592001    1,65610197    1,65628810    1,65646997    1,65592001    1,65610197    1,65628810    1,65646997    1,65592001    1,65610197    1,65628810    1,65646997    1,65592001    1,65610197    1,65628810    1,65646997    1,65592001    1,65610197    1,65628810    1,65646997    1,65591897    1,78431759    1,74660034    -1,42104673    -1,45167423    1,49022696    1,49022696
30,00    -1,55087001    1,55305858    1,57989037    1,58040550    1,58071211    1,57978530    1,58009115    1,58040656    1,58071210    1,57978530    1,58009115    1,58040656    1,58071210    1,57978530    1,58009115    1,58040656    1,58071210    1,57978530    1,58009115    1,58040656    1,58071210    1,57978530    1,58009115    1,58040656    1,58071210    1,57978530    1,58009115    1,58040656    1,58071210    1,57978286    1,82093026    1,78843315    2,07566447    2,00443528    1,20534690    1,20534690
40,00    -1,47280981    1,47597194    1,50165207    1,50231173    1,50276523    1,50138900    1,50184231    1,50231268    1,50276523    1,50138900    1,50184231    1,50231268    1,50276523    1,50138900    1,50184231    1,50231268    1,50276523    1,50138900    1,50184231    1,50231268    1,50276523    1,50138900    1,50184231    1,50231268    1,50276523    1,50138900    1,50184231    1,50231268    1,50276519    1,50138460    1,82825319    1,80217909    2,07546304    2,04372994    -1,89271693    -1,89271693
50,00    -1,39258491    1,39693351    1,42099838    1,42182693    1,42245835    1,42053486    1,42116727    1,42182760    1,42245834    1,42053486    1,42116727    1,42182760    1,42245834    1,42053486    1,42116727    1,42182760    1,42245834    1,42053486    1,42116727    1,42182760    1,42245834    1,42053486    1,42116727    1,42182760    1,42245834    1,42053486    1,42116727    1,42182760    1,42245826    1,42052756    1,83422563    1,81200124    2,06753473    2,03686211    -1,88854700    -1,88854700
60,00    -1,31015450    1,31598501    1,33773817    1,33876535    1,33961768    1,33700916    1,33786497    1,33876529    1,33961766    1,33700916    1,33786497    1,33876529    1,33961766    1,33700916    1,33786497    1,33876529    1,33961766    1,33700916    1,33786497    1,33876529    1,33961766    1,33700916    1,33786497    1,33876529    1,33961766    1,33700916    1,33786497    1,33876529    1,33961750    1,33699737    1,83965192    1,82090830    2,06001823    2,03250110    -1,72094989    -1,72094989
70,00    -1,22562345    1,23336361    1,25169890    1,25295879    1,25409473    1,25059521    1,25174018    1,25295679    1,25409467    1,25059521    1,25174018    1,25295679    1,25409467    1,25059521    1,25174018    1,25295679    1,25409467    1,25059521    1,25174018    1,25295679    1,25409467    1,25059521    1,25174018    1,25295679    1,25409467    1,25059521    1,25174018    1,25295678    1,25409433    1,25057590    1,84458624    1,82897771    2,05288119    2,02860751    -1,51150955    -1,51150955
80,00    -1,13949794    1,14979503    1,16281651    1,16433783    1,16585494    1,16112879    1,16266896    1,16433002    1,16585470    1,16112878    1,16266896    1,16433002    1,16585470    1,16112878    1,16266896    1,16433002    1,16585470    1,16112878    1,16266896    1,16433002    1,16585470    1,16112878    1,16266896    1,16433002    1,16585470    1,16112878    1,16266896    1,16433000    1,16585392    1,16109534    1,84907681    1,83630875    2,04611324    2,02555366    -1,18545395    -1,18545395
90,00    -1,05354343    1,06738109    1,07149066    1,07324115    1,07530339    1,06872766    1,07085677    1,07321188    1,07530228    1,06872762    1,07085676    1,07321188    1,07530228    1,06872762    1,07085676    1,07321188    1,07530228    1,06872762    1,07085676    1,07321188    1,07530228    1,06872762    1,07085676    1,07321188    1,07530228    1,06872762    1,07085676    1,07321180    1,07530007    1,06866225    1,85316900    1,84309512    2,03978751    2,03881806    2,02297586    2,02297586
100,00    -0,97445020    0,99279166    0,98044337    0,98199484    0,98487760    0,97505222    0,97819495    0,98185382    0,98486982    0,97505180    0,97819493    0,98185382    0,98486982    0,97505180    0,97819493    0,98185382    0,98486982    0,97505180    0,97819493    0,98185382    0,98486982    0,97505180    0,97819493    0,98185382    0,98486982    0,97505180    0,97819490    0,98185332    0,98486084    0,97488805    1,85690828    1,84914569    2,03369118    2,03280496    1,89545811    1,89545811
110,00    -0,93226294    0,94927804    0,90895015    0,90735013    0,91095204    0,89443804    0,89959179    0,90633651    0,91086267    0,89443040    0,89959124    0,90633647    0,91086266    0,89443040    0,89959124    0,90633647    0,91086266    0,89443040    0,89959124    0,90633647    0,91086266    0,89443040    0,89959124    0,90633647    0,91086266    0,89443036    0,89959078    0,90633093    0,91080108    0,89379530    1,86041910    1,85466867    2,02792224    2,02692945    1,74790737    1,74790737
120,00    -1,00041800    0,98794012    0,97853681    0,97190146    0,97026241    0,96027613    0,96321318    0,96807974    0,96965764    0,96018863    0,96320367    0,96807892    0,96965758    0,96018863    0,96320367    0,96807892    0,96965758    0,96018863    0,96320367    0,96807892    0,96965758    0,96018863    0,96320367    0,96807891    0,96965753    0,96018803    0,96319832    0,96803747    0,96937544    0,95866764    1,86458975    1,85972626    2,02247386    2,02121965    1,57236735    1,57236735
130,00    -1,04669341    1,04441023    1,09147789    1,09954801    1,10013777    1,11172806    1,10872698    1,10259358    1,10053292    1,11177241    1,10873109    1,10259385    1,10053293    1,11177241    1,10873109    1,10259385    1,10053293    1,11177241    1,10873109    1,10259385    1,10053293    1,11177241    1,10873109    1,10259385    1,10053294    1,11177266    1,10873375    1,10261951    1,10074746    1,11314637    1,86913973    1,86436228    2,01733098    2,01550287    1,33811204    1,33811204
140,00    -1,00653373    1,02169285    1,04193612    1,04775908    1,04944211    1,05493172    1,05357398    1,05047642    1,04993402    1,05500767    1,05358410    1,05047760    1,04993414    1,05500768    1,05358410    1,05047760    1,04993414    1,05500768    1,05358410    1,05047760    1,04993414    1,05500768    1,05358410    1,05047760    1,04993421    1,05500833    1,05358923    1,05051323    1,05014456    1,05605010    1,87185499    1,86859267    2,01246029    2,00840484    0,77541988    0,77541988
150,00    -0,96414421    0,98251563    0,97078646    0,97160203    0,97312487    0,97212259    0,97235195    0,97239082    0,97331824    0,97216762    0,97235958    0,97239189    0,97331838    0,97216764    0,97235958    0,97239189    0,97331838    0,97216764    0,97235958    0,97239189    0,97331838    0,97216764    0,97235958    0,97239190    0,97331845    0,97216817    0,97236282    0,97240888    0,97340636    0,97267449    1,87415749    1,87238799    2,00779386    1,98904378    -1,94775716    -1,94775716
160,00    -0,97370041    0,97272389    0,93703064    0,92749114    0,92639902    0,91216048    0,91541028    0,92212046    0,92535230    0,91199230    0,91538874    0,92211811    0,92535208    0,91199228    0,91538874    0,92211811    0,92535208    0,91199228    0,91538874    0,92211811    0,92535208    0,91199228    0,91538874    0,92211810    0,92535195    0,91199094    0,91537805    0,92205176    0,92503460    0,91081389    1,87641344    1,87599706    2,00349804    1,98742988    -1,79069534    -1,79069534
170,00    -1,02069518    1,00796765    1,02099478    1,01948248    1,01609812    1,00401176    1,00681004    1,01296053    1,01423437    1,00348247    1,00671065    1,01294667    1,01423266    1,00348225    1,00671063    1,01294667    1,01423266    1,00348225    1,00671063    1,01294667    1,01423266    1,00348225    1,00671062    1,01294656    1,01423176    1,00347532    1,00667483    1,01279083    1,01354239    1,00054255    1,87948005    1,87932364    1,99945928    1,98610129    -1,60141411    -1,60141411
180,00    -1,01399766    1,02781246    1,05921085    1,07075796    1,07561676    1,08476841    1,08354652    1,07828545    1,07740885    1,08515636    1,08361215    1,07829416    1,07740982    1,08515646    1,08361215    1,07829416    1,07740982    1,08515646    1,08361215    1,07829416    1,07740982    1,08515646    1,08361216    1,07829422    1,07741036    1,08516074    1,08363698    1,07841524    1,07793327    1,08709280    1,88237055    1,88238827    1,99566112    1,98525769    -1,34125942    -1,34125942
190,00    -0,98229055    1,00594348    1,01144067    1,01764589    1,02223750    1,02743452    1,02710135    1,02375155    1,02394530    1,02786702    1,02718928    1,02376637    1,02394742    1,02786729    1,02718931    1,02376638    1,02394742    1,02786729    1,02718931    1,02376638    1,02394742    1,02786729    1,02718933    1,02376652    1,02394841    1,02787344    1,02722078    1,02391019    1,02453088    1,02980697    1,88404693    1,88522064    1,99209785    1,98743056    -0,50120745    -0,50120745
200,00    -0,97529669    0,98130544    0,96076230    0,95752581    0,95888684    0,95521976    0,95642145    0,95733670    0,95903300    0,95534957    0,95645641    0,95734346    0,95903421    0,95534979    0,95645644    0,95734346    0,95903421    0,95534979    0,95645644    0,95734346    0,95903421    0,95534980    0,95645646    0,95734356    0,95903473    0,95535292    0,95646983    0,95739322    0,95923468    0,95616121    1,88547293    1,88789919    1,98880786    1,99939485    1,94860723    1,94860723
210,00    -1,00456614    0,98537081    0,96999279    0,95867863    0,95203506    0,93355399    0,93652446    0,94500815    0,94791437    0,93245291    0,93629389    0,94496706    0,94790801    0,93245202    0,93629379    0,94496705    0,94790801    0,93245202    0,93629379    0,94496705    0,94790801    0,93245202    0,93629374    0,94496665    0,94790547    0,93243703    0,93622128    0,94466996    0,94690146    0,92961405    1,88708251    1,89026309    1,98562450    1,99544314    1,80872345    1,80872345
220,00    -1,01189820    1,01590698    1,03926129    1,04642264    1,04694135    1,04581612    1,04599910    1,04654560    1,04632004    1,04535476    1,04584435    1,04651196    1,04631376    1,04535351    1,04584414    1,04651193    1,04631376    1,04535351    1,04584414    1,04651193    1,04631376    1,04535350    1,04584405    1,04651148    1,04631118    1,04534005    1,04579546    1,04635614    1,04576852    1,04372877    1,88950693    1,89245091    1,98264137    1,99159604    1,64617702    1,64617702
