0,0 0,00 1,00 0,00 1,00
10,0 -1,78 1,09 -2,10 -2,09
20,0 -1,82 -2,06 -2,09 -2,10
30,0 -1,82 -2,05 -2,09 -2,10
40,0 -1,83 -2,05 -2,08 -2,10
50,0 -1,84 -2,04 -2,07 -2,09
60,0 -1,84 -2,03 -2,06 -2,09
70,0 -1,85 -2,02 -2,05 -2,08
80,0 -1,85 -2,02 -2,05 -2,07
90,0 -1,85 -2,01 -2,04 -2,04
100,0 -1,86 -2,01 -2,03 -2,04
110,0 -1,86 -2,00 -2,03 -2,03
120,0 -1,87 -2,00 -2,02 -2,03
130,0 -1,87 -1,99 -2,02 -2,03
140,0 -1,87 -1,99 -2,01 -2,04
150,0 -1,87 -1,98 -2,01 -2,03
160,0 -1,88 -1,98 -2,00 -2,03
170,0 -1,86 -1,97 -2,00 -2,02
180,0 -1,86 -1,97 -2,00 -2,02
190,0 -1,87 -1,97 -1,99 -1,99
200,0 -1,90 -1,96 -1,99 -1,99
210,0 -1,90 -1,96 -1,99 -1,99
220,0 -1,90 -1,96 -1,98 -1,99
230,0 -1,90 -1,96 -1,98 -1,99
240,0 -1,90 -1,95 -1,98 -1,99
250,0 -1,90 -1,95 -1,98 -2,00
260,0 -1,90 -1,95 -1,97 -2,00
270,0 -1,90 -1,95 -1,97 -1,99
280,0 -1,90 -1,94 -1,97 -1,99
290,0 -1,90 -1,94 -1,97 -1,97
300,0 -1,90 -1,94 -1,96 -1,96
310,0 -1,90 -1,94 -1,96 -1,96
320,0 -1,90 -1,94 -1,96 -1,96
330,0 -1,90 -1,94 -1,96 -1,96
340,0 -1,90 -1,94 -1,96 -1,97
350,0 -1,90 -1,94 -1,96 -1,98
360,0 -1,88 -1,93 -1,96 -1,98
370,0 -1,89 -1,93 -1,96 -1,98
380,0 -1,90 -1,93 -1,95 -1,97
390,0 -1,91 -1,93 -1,95 -1,97
400,0 -1,91 -1,93 -1,95 -1,95
410,0 -1,91 -1,93 -1,95 -1,95
420,0 -1,91 -1,93 -1,95 -1,95
430,0 -1,91 -1,93 -1,95 -1,95
440,0 -1,91 -1,93 -1,95 -1,96
450,0 -1,91 -1,93 -1,95 -1,97
460,0 -1,91 -1,93 -1,95 -1,97
470,0 -1,91 -1,93 -1,95 -1,97
480,0 -1,91 -1,93 -1,95 -1,97
490,0 -1,91 -1,93 -1,95 -1,96
500,0 -1,91 -1,92 -1,95 -1,94
510,0 -1,91 -1,92 -1,95 -1,94
520,0 -1,91 -1,92 -1,95 -1,95
530,0 -1,91 -1,92 -1,94 -1,95
540,0 -1,91 -1,92 -1,94 -1,95
550,0 -1,91 -1,92 -1,94 -1,97
560,0 -1,91 -1,92 -1,94 -1,97
570,0 -1,91 -1,92 -1,94 -1,96
580,0 -1,91 -1,92 -1,94 -1,96
590,0 -1,91 -1,92 -1,94 -1,96
600,0 -1,91 -1,92 -1,94 -1,94
610,0 -1,91 -1,92 -1,94 -1,94
620,0 -1,91 -1,92 -1,94 -1,94
630,0 -1,91 -1,92 -1,94 -1,94
640,0 -1,91 -1,92 -1,94 -1,95
650,0 -1,91 -1,92 -1,94 -1,95
660,0 -1,91 -1,92 -1,94 -1,97
670,0 -1,91 -1,92 -1,94 -1,96
680,0 -1,91 -1,92 -1,94 -1,96
690,0 -1,91 -1,92 -1,94 -1,96
700,0 -1,91 -1,92 -1,94 -1,94
710,0 -1,91 -1,92 -1,94 -1,94
720,0 -1,91 -1,92 -1,94 -1,94
730,0 -1,91 -1,92 -1,94 -1,94
740,0 -1,91 -1,92 -1,94 -1,94
750,0 -1,91 -1,92 -1,94 -1,95
760,0 -1,91 -1,92 -1,94 -1,96
770,0 -1,90 -1,92 -1,94 -1,96
780,0 -1,89 -1,92 -1,94 -1,96
790,0 -1,90 -1,92 -1,94 -1,96
800,0 -1,92 -1,92 -1,94 -1,95
810,0 -1,92 -1,92 -1,94 -1,94
820,0 -1,92 -1,92 -1,94 -1,94
830,0 -1,92 -1,92 -1,94 -1,94
840,0 -1,92 -1,92 -1,94 -1,94
850,0 -1,91 -1,92 -1,94 -1,95
860,0 -1,91 -1,92 -1,94 -1,96
870,0 -1,91 -1,92 -1,94 -1,96
880,0 -1,91 -1,92 -1,94 -1,96
890,0 -1,91 -1,92 -1,94 -1,96
900,0 -1,91 -1,92 -1,94 -1,95
910,0 -1,91 -1,92 -1,94 -1,94
920,0 -1,91 -1,92 -1,94 -1,94
930,0 -1,91 -1,92 -1,94 -1,94
940,0 -1,91 -1,92 -1,94 -1,94
950,0 -1,91 -1,92 -1,94 -1,95
960,0 -1,91 -1,92 -1,94 -1,96
970,0 -1,91 -1,92 -1,94 -1,96
980,0 -1,89 -1,92 -1,94 -1,96
990,0 -1,89 -1,92 -1,94 -1,96
1000,0 -1,90 -1,92 -1,94 -1,96
1010,0 -1,92 -1,92 -1,94 -1,94
1020,0 -1,92 -1,92 -1,94 -1,94
1030,0 -1,92 -1,92 -1,94 -1,94
1040,0 -1,92 -1,92 -1,94 -1,94
1050,0 -1,91 -1,92 -1,94 -1,94
1060,0 -1,91 -1,92 -1,94 -1,96
1070,0 -1,91 -1,92 -1,94 -1,96
1080,0 -1,91 -1,92 -1,94 -1,96
1090,0 -1,91 -1,92 -1,94 -1,96
1100,0 -1,91 -1,92 -1,94 -1,96
1110,0 -1,91 -1,92 -1,94 -1,94
1120,0 -1,91 -1,92 -1,94 -1,94
1130,0 -1,91 -1,92 -1,94 -1,94
1140,0 -1,91 -1,92 -1,94 -1,94
1150,0 -1,91 -1,92 -1,94 -1,94
1160,0 -1,91 -1,92 -1,94 -1,95
1170,0 -1,91 -1,92 -1,94 -1,96
1180,0 -1,91 -1,92 -1,94 -1,96
1190,0 -1,91 -1,92 -1,94 -1,96
1200,0 -1,91 -1,92 -1,94 -1,96
1210,0 -1,91 -1,92 -1,94 -1,94
1220,0 -1,91 -1,92 -1,94 -1,94
1230,0 -1,91 -1,92 -1,94 -1,94
1240,0 -1,91 -1,92 -1,94 -1,94
1250,0 -1,91 -1,92 -1,94 -1,94
1260,0 -1,91 -1,92 -1,94 -1,95
1270,0 -1,91 -1,92 -1,94 -1,96
1280,0 -1,91 -1,92 -1,94 -1,96
1290,0 -1,91 -1,92 -1,94 -1,96
1300,0 -1,91 -1,92 -1,94 -1,96
1310,0 -1,91 -1,92 -1,94 -1,95
1320,0 -1,91 -1,92 -1,94 -1,94
1330,0 -1,91 -1,92 -1,94 -1,94
